Place of interest,Place address,Type of place,BiciMAD Station,Station Location,distance
Iglesia Evangélica Duque de Sesto,CALLE DUQUE DE SESTO 6,Iglesia Evangélica Duque de Sesto,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,222.92170745917147
Iglesia Evangélica El Hogar Cristiano,CALLE ESTOCOLMO 43 PLANTA 2 B,Iglesia Evangélica El Hogar Cristiano,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,4541.764413370375
Iglesia Evangélica El Shaddai,CALLE MARIA PEDRAZA 11,Iglesia Evangélica El Shaddai,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1,257.818837081862
Iglesia Evangélica Emanuel Asambleas de Dios,CALLE DIEGO MANCHADO 29,Iglesia Evangélica Emanuel Asambleas de Dios,221 - Pavones,Calle Hacienda de Pavones nº 342,1815.8442307561486
Iglesia Evangélica Emaús,CALLE AGUAVIVA 6 Local,Iglesia Evangélica Emaús,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,8562.019537247686
Iglesia Evangélica Encuentro con Dios,CALLE JOSE DEL PRADO Y PALACIO 1 Local 4,Iglesia Evangélica Encuentro con Dios,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,438.1850881010218
Iglesia Evangélica Evangelizando las Naciones,PASEO GIGANTES Y CABEZUDOS 48 PLANTA BAJO 12,Iglesia Evangélica Evangelizando las Naciones,235 - Embajadores 191,Calle Sodio nº 1B,3801.5000470468785
Iglesia Evangélica Evangelizando las Naciones Resina 14A,CALLE RESINA 14 A NAVE 2 GETAFE,Iglesia Evangélica Evangelizando las Naciones Resina 14A,213 - Glorieta de Cádiz,Calle Antonio López nº 129,5884.498355075259
"Iglesia Evangélica Fe, Esperanza y Amor",CALLE PATRIARCA SAN JOSE 9 BAJO,"Iglesia Evangélica Fe, Esperanza y Amor",215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1433.119519696159
"Iglesia Evangélica Filadelfia Aldaya 41, 42 y 43","CALLE ALDAYA  41, 42, y 43","Iglesia Evangélica Filadelfia Aldaya 41, 42 y 43",254 - Pío XII,Avenida Pío XII nº 3,3769.178006310314
Iglesia Evangélica Filadelfia Antonio González Porras 21,CALLE ANTONIO GONZALEZ PORRAS 21,Iglesia Evangélica Filadelfia Antonio González Porras 21,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,860.6067557837054
Iglesia Evangélica Filadelfia Armengot,CALLE ARMENGOT  SIN NÚMERO,Iglesia Evangélica Filadelfia Armengot,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,279.77892267286677
Iglesia Evangélica Filadelfia Avenida Guadalajara 37,AVENIDA GUADALAJARA 37 LOCAL 9,Iglesia Evangélica Filadelfia Avenida Guadalajara 37,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2606.4023321884283
Iglesia Evangélica Filadelfia Cerro de los Ángeles 32,AVENIDA CERRO DE LOS ANGELES 32,Iglesia Evangélica Filadelfia Cerro de los Ángeles 32,213 - Glorieta de Cádiz,Calle Antonio López nº 129,1799.6712171013548
Iglesia Evangélica Filadelfia Elvira Barrios 4,CALLE ELVIRA BARRIOS 4,Iglesia Evangélica Filadelfia Elvira Barrios 4,224 - Caramuel,Calle Caramuel nº 51,1714.1555038004515
Iglesia Evangélica Filadelfia Fernando González 15,CALLE FERNANDO GONZALEZ 15,Iglesia Evangélica Filadelfia Fernando González 15,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,871.3488001481675
Iglesia Evangélica Filadelfia García Llamas 41,CALLE GARCIA LLAMAS 41,Iglesia Evangélica Filadelfia García Llamas 41,227 - Concordia,Calle Arroyo del Olivar nº 6,1042.9548531407393
Iglesia Evangélica Filadelfia Getafe 25,CALLE GETAFE 25,Iglesia Evangélica Filadelfia Getafe 25,213 - Glorieta de Cádiz,Calle Antonio López nº 129,5191.161784071326
Iglesia Evangélica Filadelfia Guadalquivir 1,CALLE GUADALQUIVIR 1 PLANTA 2,Iglesia Evangélica Filadelfia Guadalquivir 1,137 - Plaza de la República Argentina,Plaza de la República Argentina nº 6,87.16617992933406
Iglesia Evangélica Filadelfia Guillermo Pingarron 9,CALLE GUILLERMO PINGARRON 9 PLANTA BAJO EXTERIOR,Iglesia Evangélica Filadelfia Guillermo Pingarron 9,226 - Sierra Toledana,Camino de Valderribas nº 94,1948.187080934807
Iglesia Evangélica Filadelfia Higinio Rodríguez 62,CALLE HIGINIO RODRIGUEZ 62,Iglesia Evangélica Filadelfia Higinio Rodríguez 62,227 - Concordia,Calle Arroyo del Olivar nº 6,889.8059210595543
Iglesia Evangélica Filadelfia Isabelita Usera 59,CALLE ISABELITA USERA 59,Iglesia Evangélica Filadelfia Isabelita Usera 59,213 - Glorieta de Cádiz,Calle Antonio López nº 129,1156.8872771520664
Iglesia Evangélica Filadelfia Jaspe 56,CALLE JASPE 56 LOCAL 4,Iglesia Evangélica Filadelfia Jaspe 56,213 - Glorieta de Cádiz,Calle Antonio López nº 129,1249.3126299065957
Iglesia Evangélica Filadelfia Lucano 17,CALLE LUCANO 17,Iglesia Evangélica Filadelfia Lucano 17,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3576.188423852619
Iglesia Evangélica Filadelfia Luis de Hoyos Sainz,"CALLE LUIS DE HOYOS SAINZ  SIN NÚMERO, 2, LOCAL 3",Iglesia Evangélica Filadelfia Luis de Hoyos Sainz,221 - Pavones,Calle Hacienda de Pavones nº 342,727.7066120834053
Iglesia Evangélica Filadelfia Manresa 48,CALLE MANRESA 48 POSTERIOR,Iglesia Evangélica Filadelfia Manresa 48,217 - Pedro Rico,Calle Pedro Rico nº 4,1340.3111940266883
Iglesia Evangélica Filadelfia Mejorana 27,CALLE MEJORANA 27,Iglesia Evangélica Filadelfia Mejorana 27,180 - Méndez Álvaro,Calle Retama nº 5,1216.089652222866
Iglesia Evangélica Filadelfia Nicolasa Gómez 39,CALLE NICOLASA GOMEZ 39,Iglesia Evangélica Filadelfia Nicolasa Gómez 39,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3340.4413815009775
Iglesia Evangélica Filadelfia Nuestra Señora de Valverde 108,CALLE NUESTRA SEÑORA DE VALVERDE 108,Iglesia Evangélica Filadelfia Nuestra Señora de Valverde 108,217 - Pedro Rico,Calle Pedro Rico nº 4,1765.1411675363418
Iglesia Evangélica Filadelfia Portugalete 29,CALLE PORTUGALETE 29,Iglesia Evangélica Filadelfia Portugalete 29,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,862.0211735386148
Iglesia Evangélica Filadelfia Quart de Poblet 41,CALLE CUART DE POBLET 41,Iglesia Evangélica Filadelfia Quart de Poblet 41,224 - Caramuel,Calle Caramuel nº 51,2510.7731934363323
Iglesia Evangélica Filadelfia Rafael Finat 3,CALLE RAFAEL FINAT 3,Iglesia Evangélica Filadelfia Rafael Finat 3,224 - Caramuel,Calle Caramuel nº 51,4906.62354509776
Iglesia Evangélica Filadelfia San Telesforo 13,CALLE SAN TELESFORO 13 PLANTA 1 Nave 11,Iglesia Evangélica Filadelfia San Telesforo 13,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,795.8262746525567
Iglesia Evangélica Filadelfia Sierra de Engarceran 7,CALLE SIERRA ENGARCERAN 7,Iglesia Evangélica Filadelfia Sierra de Engarceran 7,221 - Pavones,Calle Hacienda de Pavones nº 342,2944.136604362508
Iglesia Evangélica Filadelfia calle Germán Pérez Carrasco,CALLE GERMAN PEREZ CARRASCO 2,Iglesia Evangélica Filadelfia calle Germán Pérez Carrasco,232 - José María Pereda,Calle José María de Pereda nº 1,212.53879150688516
Iglesia Evangélica Filadelfia calle Luis Cernuda,"CALLE LUIS CERNUDA  LOCAL 2, FINCA 3",Iglesia Evangélica Filadelfia calle Luis Cernuda,231 - Derechos Humanos,Calle Derechos Humanos nº 12,311.9716205405736
Iglesia Evangélica Filadelfia calle Oso 19,CALLE OSO 19 PLANTA baja,Iglesia Evangélica Filadelfia calle Oso 19,44 - Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,135.76440440796426
Iglesia Evangélica Filadelfia del Centro,CALLE RODRIGO DE GUEVARA 2,Iglesia Evangélica Filadelfia del Centro,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 ,218.55421243301913
Iglesia Evangélica Filadelfia plaza Rendición de Breda,PLAZA RENDICION DE BREDA 2,Iglesia Evangélica Filadelfia plaza Rendición de Breda,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2876.828069530044
Iglesia Evangélica Fuente de Vida,AVENIDA PEDRO DIEZ 21,Iglesia Evangélica Fuente de Vida,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1804.7952913089116
"Iglesia Evangélica Fuente de la Vida, Asambleas de Dios",CALLE SIERRA CARBONERA 31,"Iglesia Evangélica Fuente de la Vida, Asambleas de Dios",227 - Concordia,Calle Arroyo del Olivar nº 6,280.65413444622493
Iglesia Evangélica Gran Rey,CALLE MAESTRO ARBOS 5,Iglesia Evangélica Gran Rey,177 - Legazpi,Calle Bolívar nº 3,162.52129690529654
Iglesia Evangélica Isla de Patmos,CALLE POTASA 11 PLANTA BAJO,Iglesia Evangélica Isla de Patmos,235 - Embajadores 191,Calle Sodio nº 1B,4225.073906387515
Iglesia Evangélica Jesús es el Señor Torre Fuerte,CALLE BLANDON 6,Iglesia Evangélica Jesús es el Señor Torre Fuerte,224 - Caramuel,Calle Caramuel nº 51,2479.9042502528464
Iglesia Evangélica La Roca,PASEO DELICIAS 28,Iglesia Evangélica La Roca,120 - Palos de la Frontera,Calle Palos de la Frontera nº 27,203.59259936767936
Iglesia Evangélica Las Águilas,CALLE FUERTE DE NAVIDAD 19,Iglesia Evangélica Las Águilas,224 - Caramuel,Calle Caramuel nº 51,5343.478530175451
Iglesia Evangélica Luz del Mundo,CALLE SAN ERASMO 16,Iglesia Evangélica Luz del Mundo,213 - Glorieta de Cádiz,Calle Antonio López nº 129,5727.434723798445
Iglesia Evangélica Manantial de Vida,AVENIDA CERRO DE LOS ANGELES 10 PLANTA 1 B,Iglesia Evangélica Manantial de Vida,228 - San Delfín,Calle San Delfín nº 9,1701.085589244533
Iglesia Evangélica Miguel de la Roca 6,CALLE MIGUEL DE LA ROCA 6,Iglesia Evangélica Miguel de la Roca 6,180 - Méndez Álvaro,Calle Retama nº 5,1216.2811198158379
Iglesia Evangélica Ministerio Belem,CALLE OROPENDOLA 26,Iglesia Evangélica Ministerio Belem,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2536.333293132982
Iglesia Evangélica Ministerio Pasión por Cristo,CALLE REUS 8,Iglesia Evangélica Ministerio Pasión por Cristo,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4417.8098255172035
Iglesia Evangélica Ministerio Sembradores,CALLE HUERTA DE CASTA&amp;Ntilde;EDA 25,Iglesia Evangélica Ministerio Sembradores,224 - Caramuel,Calle Caramuel nº 51,1486.6572406044093
Iglesia Evangélica Noviciado 5,CALLE NOVICIADO 5,Iglesia Evangélica Noviciado 5,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64,103.8761285301513
Iglesia Evangélica Nueva Vida,CALLE ARGOS 13,Iglesia Evangélica Nueva Vida,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1036.40093817723
Iglesia Evangélica Oteiza 45,CALLE OTEIZA 45,Iglesia Evangélica Oteiza 45,235 - Embajadores 191,Calle Sodio nº 1B,2043.4639701161632
Iglesia Evangélica Pentecostal Amistad Cristiana,CALLE VALLEHERMOSO 70,Iglesia Evangélica Pentecostal Amistad Cristiana,245 - Galileo,Calle Galileo nº 63,232.74130416601673
Iglesia Evangélica Pentecostal Bethel,CALLE FERNANDO DIAZ DE MENDOZA 3,Iglesia Evangélica Pentecostal Bethel,228 - San Delfín,Calle San Delfín nº 9,556.8396379137815
Iglesia Evangélica Pentecostal Misión 1909,CALLE VIRGEN DE BELEN 42 PLANTA BAJO,Iglesia Evangélica Pentecostal Misión 1909,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1011.1671895106515
Iglesia Evangélica Pentecostal Salem,CALLE CIDRO 8,Iglesia Evangélica Pentecostal Salem,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4721.824571437882
Iglesia Evangélica Pinzón 16,CALLE PINZON 16,Iglesia Evangélica Pinzón 16,224 - Caramuel,Calle Caramuel nº 51,2516.2417128758307
Iglesia Evangélica Pueblo Nuevo,CALLE VILLACARLOS 14,Iglesia Evangélica Pueblo Nuevo,221 - Pavones,Calle Hacienda de Pavones nº 342,3224.130537758721
Iglesia Evangélica Renuevo de Vida,CALLE GINZO DE LIMIA 55,Iglesia Evangélica Renuevo de Vida,217 - Pedro Rico,Calle Pedro Rico nº 4,2337.9740869368284
Iglesia Evangélica Servidores de Vida,CALLE CASTROJERIZ 8,Iglesia Evangélica Servidores de Vida,224 - Caramuel,Calle Caramuel nº 51,2699.8725753906238
Iglesia Evangélica Sinaí,CALLE SILVIO ABAD 76,Iglesia Evangélica Sinaí,228 - San Delfín,Calle San Delfín nº 9,1561.8348575084497
Iglesia Evangélica Trafalgar,CALLE TRAFALGAR 32 PLANTA BAJA A,Iglesia Evangélica Trafalgar,126 - General Álvarez de Castro,Calle del General Álvarez de Castro nº 1,92.3214864191592
Iglesia Evangélica Vino Nuevo el Rey Jesús,CALLE CADARSO 6,Iglesia Evangélica Vino Nuevo el Rey Jesús,116a - Plaza de España A,Calle Princesa nº 5,248.66574236837212
Iglesia Evangélica de Aluche,CALLE NUESTRA SEÑORA DE LA LUZ 118,Iglesia Evangélica de Aluche,224 - Caramuel,Calle Caramuel nº 51,3593.164519029903
Iglesia Evangélica del Nazareno,CALLE PELICANO 26,Iglesia Evangélica del Nazareno,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2080.150264043597
Iglesia Evangélica la Casa del Padre,CALLE HAYA 5,Iglesia Evangélica la Casa del Padre,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4816.423140640081
Iglesia Evangélica. Calle Tembleque,CALLE TEMBLEQUE 140,Iglesia Evangélica. Calle Tembleque,224 - Caramuel,Calle Caramuel nº 51,4602.217097379735
Iglesia Gloria de Dios,CALLE ESTEBAN COLLANTES 37,Iglesia Gloria de Dios,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,255.6217696808802
Iglesia Hillsong España,CALLE FORTUNATA Y JACINTA 17 Teatro Gran Maestre,Iglesia Hillsong España,152 - General Perón 1,Avenida del General Perón frente al nº 4,224.4942610263716
Iglesia Internacional Alianza de Amor,CALLE ANTONIO GONZALEZ PORRAS 25,Iglesia Internacional Alianza de Amor,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,855.7177075418831
Iglesia Jesús es el Maestro,CALLE ALEJANDRINA MORAN 24,Iglesia Jesús es el Maestro,224 - Caramuel,Calle Caramuel nº 51,2196.968174484869
Iglesia Libre de los Hermanos en Cristo,PASEO EXTREMADURA 179,Iglesia Libre de los Hermanos en Cristo,224 - Caramuel,Calle Caramuel nº 51,1804.0145727897607
Iglesia Ministerio Denuedo,CALLE MINEROS 12 PLANTA 1,Iglesia Ministerio Denuedo,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2173.9451458754133
Iglesia Ministerio Internacional Poder de Dios,CALLE VERJA 27,Iglesia Ministerio Internacional Poder de Dios,228 - San Delfín,Calle San Delfín nº 9,1509.0869671539845
Iglesia Misionera Asamblea Cristiana,CALLE GUTIERRE DE CETINA 117 PLANTA 3ª,Iglesia Misionera Asamblea Cristiana,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,329.56366335282235
Iglesia Misionera Asamblea Cristiana Río Ulla 14,CALLE RIO ULLA 14,Iglesia Misionera Asamblea Cristiana Río Ulla 14,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,533.2939286982462
Iglesia Misionera Pentecostal de Cristo,CALLE BENEFICENCIA 18,Iglesia Misionera Pentecostal de Cristo,7 - Hortaleza,Calle Hortaleza nº 75,164.381934021707
Iglesia Misión Apostólica Mundial,CALLE ALEJANDRO MORAN 3,Iglesia Misión Apostólica Mundial,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2249.563699448711
Iglesia Misión Apostólica Mundial Cuart de Poblet 53,CALLE CUART DE POBLET 53 PLANTA 4 A,Iglesia Misión Apostólica Mundial Cuart de Poblet 53,224 - Caramuel,Calle Caramuel nº 51,2547.0029027435194
Iglesia Nueva Generación,CALLE CIDRO 18 PLANTA 1 A,Iglesia Nueva Generación,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4913.307354471994
Iglesia Pentecostal Cezarea,CALLE SANTA CRUZ DE RETAMAR 9,Iglesia Pentecostal Cezarea,221 - Pavones,Calle Hacienda de Pavones nº 342,2376.211730807337
Iglesia Pentecostal Dios es Amor,CALLE ELFO 158,Iglesia Pentecostal Dios es Amor,229 - C.D. Concepción,Calle Jose del Hierro nº 5,745.9059336551965
Iglesia Pentecostal El Buen Samaritano,CALLE SANTIAGO ESTEVEZ 27 PLANTA 1 DERECHA,Iglesia Pentecostal El Buen Samaritano,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,2045.3727484551432
Iglesia Pentecostal Unida de España Pedro Villar 2,CALLE PEDRO VILLAR 2,Iglesia Pentecostal Unida de España Pedro Villar 2,207 - Remonta,Calle Azucenas nº 1,63.55081267456588
Iglesia Pentecostal Unida en Europa,CALLE CUCLILLO 5,Iglesia Pentecostal Unida en Europa,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1817.5455689779087
Iglesia Presbiteriana Coreana,CALLE JOSE MARIA PEREDA 28,Iglesia Presbiteriana Coreana,232 - José María Pereda,Calle José María de Pereda nº 1,205.0569353907688
Iglesia Presbiteriana Coreana Sarang,CALLE VILLACAMPA 4 y 6,Iglesia Presbiteriana Coreana Sarang,221 - Pavones,Calle Hacienda de Pavones nº 342,2610.1419610644284
Iglesia Vida Apasionada,CALLE REYES MAGOS 8 PLANTA 6 B,Iglesia Vida Apasionada,83 - Pío Baroja,Calle Pío Baroja nº 10,194.23306416289813
Iglesia Vida Nueva para las Naciones,CALLE BERASTEGUI 49,Iglesia Vida Nueva para las Naciones,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,273.9802392827778
Iglesia Vidapasionada,AVENIDA MENENDEZ PELAYO 36,Iglesia Vidapasionada,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38,32.533683795375175
Iglesia de Cristo - Madrid,CALLE TERUEL 25,Iglesia de Cristo - Madrid,152 - General Perón 1,Avenida del General Perón frente al nº 4,270.68987271743674
Iglesia de Dios (Verbo de Dios),CALLE GUTIERREZ Y MICHEL 6,Iglesia de Dios (Verbo de Dios),221 - Pavones,Calle Hacienda de Pavones nº 342,2483.5315290399294
Iglesia de Dios Harul,CALLE MATILDE HERNANDEZ 31 PLANTA 2 B LOCAL 8,Iglesia de Dios Harul,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,2080.4390618399093
Iglesia de Dios Vida Nueva,CALLE ROCAFORT 83,Iglesia de Dios Vida Nueva,235 - Embajadores 191,Calle Sodio nº 1B,5241.65167851913
Iglesia de Dios de la Profecía,CALLE EMILIO ORTU&amp;Ntilde;O 19,Iglesia de Dios de la Profecía,179 - Puente de Vallecas,Avenida de la Albufera nº 6,428.85495295501624
"Iglesia de Dios, Verbo de Dios",CALLE PUERTO DE POZAZAL 25,"Iglesia de Dios, Verbo de Dios",221 - Pavones,Calle Hacienda de Pavones nº 342,2363.171194872366
Iglesia de Jesucristo Palabra Miel,CALLE PAMPLONA 53,Iglesia de Jesucristo Palabra Miel,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,136.38630582440953
Iglesia de Jesucristo de los Santos de los Últimos Días. Templo de Madrid,CALLE TEMPLO 2,Iglesia de Jesucristo de los Santos de los Últimos Días. Templo de Madrid,221 - Pavones,Calle Hacienda de Pavones nº 342,388.1366086879572
Iglesia de Los Elegidos de Dios,CALLE FARO 8 Posterior,Iglesia de Los Elegidos de Dios,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2195.122337979997
Iglesia de Santidad Pentecostal,CALLE SERVANDO BATANERO 8 PLANTA 1 DERECHA,Iglesia de Santidad Pentecostal,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,344.0187578130682
Iglesia de Santidad Pentecostal Tomás Redondo 1,CALLE TOMAS REDONDO 1 PLANTA 4 LOCAL 2,Iglesia de Santidad Pentecostal Tomás Redondo 1,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3832.3170985846746
Iglesia de Scientology de España,CALLE SANTA CATALINA 7 esquina calle Prado,Iglesia de Scientology de España,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,243.01676671862154
Iglesia de Una Esperanza,CAMINO PERALES 110,Iglesia de Una Esperanza,235 - Embajadores 191,Calle Sodio nº 1B,1805.508305719911
Iglesia de los Discípulos de Cristo,CALLE PEDRO HEREDIA 3,Iglesia de los Discípulos de Cristo,184 - Marqués de Zafra,Paseo Marqués de Zafra nº 24,279.4668046930422
Iglesia del Evangelio Cuadrangular,CALLE VENCEJO 3,Iglesia del Evangelio Cuadrangular,224 - Caramuel,Calle Caramuel nº 51,2896.8359002880266
Iglesia del Rey Jesucristo,CALLE GRANDEZA ESPA&amp;Ntilde;OLA 49 PLANTA 3ª D,Iglesia del Rey Jesucristo,224 - Caramuel,Calle Caramuel nº 51,580.9576825341767
Iglesia evangélica Fundación Federico Fliedner,CALLE BRAVO MURILLO 85,Iglesia evangélica Fundación Federico Fliedner,132 - Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,170.1515175539722
Iglesia evangélica. Calle Marquesa de Argüeso,CALLE MARQUESA DE ARG&amp;Uuml;ESO 22,Iglesia evangélica. Calle Marquesa de Argüeso,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1105.7473349866825
Madrid International Church,CALLE CIDRO 14 PLANTA BAJO Polígono Aguacate,Madrid International Church,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4871.244234999981
Ministerio Jesucristo Pan de Vida,CALLE VIRGEN DE BELEN 1,Ministerio Jesucristo Pan de Vida,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1151.8236088879764
Misión Carismática Internacional,CALLE RABANAL DEL CAMINO 9 6.1,Misión Carismática Internacional,217 - Pedro Rico,Calle Pedro Rico nº 4,3457.303761810534
Misión Evangélica Maranata,CALLE IMAGEN 18,Misión Evangélica Maranata,227 - Concordia,Calle Arroyo del Olivar nº 6,1072.7843997458376
Movimiento Misionero Mundial,CALLE MANUEL LAGUNA 33,Movimiento Misionero Mundial,227 - Concordia,Calle Arroyo del Olivar nº 6,1454.582478770009
Movimiento Misionero Mundial calle Germán Pérez Carrasco 92,CALLE GERMAN PEREZ CARRASCO 92,Movimiento Misionero Mundial calle Germán Pérez Carrasco 92,229 - C.D. Concepción,Calle Jose del Hierro nº 5,880.4562563342871
Primera Iglesia Evangélica Bautista de Madrid,CALLE GENERAL LACY 18,Primera Iglesia Evangélica Bautista de Madrid,120 - Palos de la Frontera,Calle Palos de la Frontera nº 27,397.9053656965175
Templo Evangélico Comunidad de Oración,CALLE BENIDORM 17,Templo Evangélico Comunidad de Oración,189 - Avenida Donostiarra,Calle Virgen de la Alegría nº 18,447.47795019930976
Testigos Cristianos de Jehová. Avenida de Moratalaz,AVENIDA MORATALAZ 143 Bajo 12,Testigos Cristianos de Jehová. Avenida de Moratalaz,219 - Marroquina,Calle Camino de los Vinateros nº 108,198.87957603082168
Testigos Cristianos de Jehová. Calle Andaluces,AVENIDA ANDALUCES 30 PLANTA BAJO POSTERIOR,Testigos Cristianos de Jehová. Calle Andaluces,219 - Marroquina,Calle Camino de los Vinateros nº 108,198.87957603082168
Testigos Cristianos de Jehová. Calle Arroyo,CALLE ARROYO 23 PLANTA BAJO,Testigos Cristianos de Jehová. Calle Arroyo,207 - Remonta,Calle Azucenas nº 1,949.8700003150674
Testigos Cristianos de Jehová. Calle Artistas,CALLE ARTISTAS 22 PLANTA BAJO A,Testigos Cristianos de Jehová. Calle Artistas,133 - Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,153.0412140485808
Testigos Cristianos de Jehová. Calle Carrascales,CALLE CARRASCALES 12 PLANTA BAJA 1 derecha,Testigos Cristianos de Jehová. Calle Carrascales,213 - Glorieta de Cádiz,Calle Antonio López nº 129,1219.4463091735074
Testigos Cristianos de Jehová. Calle Cebreros,CALLE CEBREROS 2 PLANTA BAJO C,Testigos Cristianos de Jehová. Calle Cebreros,224 - Caramuel,Calle Caramuel nº 51,1516.0037207389353
Testigos Cristianos de Jehová. Calle Chantada,CALLE CHANTADA 41 Bajo 6 y 43,Testigos Cristianos de Jehová. Calle Chantada,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,2022.9306331770688
Testigos Cristianos de Jehová. Calle Doctor Gómez Ulla,CALLE DOCTOR GÓMEZ ULLA 16 PLANTA BAJA IZQUIERDA,Testigos Cristianos de Jehová. Calle Doctor Gómez Ulla,193 - Ventas,Avenida de los Toreros nº 49,353.39228144352563
Testigos Cristianos de Jehová. Calle Guamo,CALLE GUAMO 2 Bajo 1 bis y 6,Testigos Cristianos de Jehová. Calle Guamo,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3659.462325304844
Testigos Cristianos de Jehová. Calle Hilario Sangrador,CALLE HILARIO SANGRADOR 8 PLANTA BAJA IZQUIERDA,Testigos Cristianos de Jehová. Calle Hilario Sangrador,224 - Caramuel,Calle Caramuel nº 51,1563.4149637422997
Testigos Cristianos de Jehová. Calle Ignacio Ellacuría,CALLE IGNACIO ELLACURIA 3 7,Testigos Cristianos de Jehová. Calle Ignacio Ellacuría,188 - Puente de Ventas,Avenida de Daroca nº 2,336.5597816313753
Testigos Cristianos de Jehová. Calle Jacobinia,CALLE JACOBINIA 70,Testigos Cristianos de Jehová. Calle Jacobinia,224 - Caramuel,Calle Caramuel nº 51,4507.24550764648
Testigos Cristianos de Jehová. Calle Las Pedroñeras,CALLE LAS PEDRO&amp;Ntilde;ERAS 46 LOCAL,Testigos Cristianos de Jehová. Calle Las Pedroñeras,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3320.0353184238693
Testigos Cristianos de Jehová. Calle Los Mineros,CALLE MINEROS 16,Testigos Cristianos de Jehová. Calle Los Mineros,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2162.9558564514477
Testigos Cristianos de Jehová. Calle Luis Ruiz,CALLE LUIS RUIZ 75 PUERTA 19,Testigos Cristianos de Jehová. Calle Luis Ruiz,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,580.6359647460529
Testigos Cristianos de Jehová. Calle Manola y Rosario,CALLE MANOLA Y ROSARIO 1 PLANTA BAJO INTERIOR,Testigos Cristianos de Jehová. Calle Manola y Rosario,213 - Glorieta de Cádiz,Calle Antonio López nº 129,5197.332386690665
Testigos Cristianos de Jehová. Calle Marcudos,CALLE MARCUDOS 4 PLANTA BAJO 3,Testigos Cristianos de Jehová. Calle Marcudos,213 - Glorieta de Cádiz,Calle Antonio López nº 129,179.1093284700879
Testigos Cristianos de Jehová. Calle Martín Martínez,CALLE MARTIN MARTINEZ 4 PLANTA BAJO 2,Testigos Cristianos de Jehová. Calle Martín Martínez,196 - Prosperidad,Calle Suero de Quiñones nº 2,408.9770542721299
