Place of interest,Place address,Latitude,Longitude,Type of place
Iglesia Evangélica Filadelfia calle Germán Pérez Carrasco,CALLE GERMAN PEREZ CARRASCO 2,40.434275700358306,-3.6474248057743144,Iglesia Evangélica Filadelfia calle Germán Pérez Carrasco
Iglesia Evangélica Filadelfia calle Luis Cernuda,"CALLE LUIS CERNUDA  LOCAL 2, FINCA 3",40.440110358334735,-3.653005712125586,Iglesia Evangélica Filadelfia calle Luis Cernuda
Iglesia Evangélica Filadelfia calle Oso 19,CALLE OSO 19 PLANTA baja,40.409453044063135,-3.7052440230775514,Iglesia Evangélica Filadelfia calle Oso 19
Iglesia Evangélica Filadelfia Cerro de los Ángeles 32,AVENIDA CERRO DE LOS ANGELES 32,40.37875284587766,-3.7126889160076697,Iglesia Evangélica Filadelfia Cerro de los Ángeles 32
Iglesia Evangélica Filadelfia del Centro,CALLE RODRIGO DE GUEVARA 2,40.40931307515139,-3.7089216905673084,Iglesia Evangélica Filadelfia del Centro
Iglesia Evangélica Filadelfia Elvira Barrios 4,CALLE ELVIRA BARRIOS 4,40.3957003972249,-3.7360404509749086,Iglesia Evangélica Filadelfia Elvira Barrios 4
Iglesia Evangélica Filadelfia Fernando González 15,CALLE FERNANDO GONZALEZ 15,40.39180701085305,-3.72103086312969,Iglesia Evangélica Filadelfia Fernando González 15
Iglesia Evangélica Filadelfia García Llamas 41,CALLE GARCIA LLAMAS 41,40.38533512440142,-3.6698802897236034,Iglesia Evangélica Filadelfia García Llamas 41
Iglesia Evangélica Filadelfia Getafe 25,CALLE GETAFE 25,40.34299224985532,-3.7080605588776208,Iglesia Evangélica Filadelfia Getafe 25
Iglesia Evangélica Filadelfia Guadalquivir 1,CALLE GUADALQUIVIR 1 PLANTA 2,40.44619399938698,-3.6853246238036528,Iglesia Evangélica Filadelfia Guadalquivir 1
Iglesia Evangélica Filadelfia Guillermo Pingarron 9,CALLE GUILLERMO PINGARRON 9 PLANTA BAJO EXTERIOR,40.387393475080934,-3.6477186323226545,Iglesia Evangélica Filadelfia Guillermo Pingarron 9
Iglesia Evangélica Filadelfia Higinio Rodríguez 62,CALLE HIGINIO RODRIGUEZ 62,40.38672257682575,-3.6622858627113515,Iglesia Evangélica Filadelfia Higinio Rodríguez 62
Iglesia Evangélica Filadelfia Isabelita Usera 59,CALLE ISABELITA USERA 59,40.38150656323228,-3.7074073830087357,Iglesia Evangélica Filadelfia Isabelita Usera 59
Iglesia Evangélica Filadelfia Jaspe 56,CALLE JASPE 56 LOCAL 4,40.37979944135075,-3.7066539512199044,Iglesia Evangélica Filadelfia Jaspe 56
Iglesia Evangélica Filadelfia Lucano 17,CALLE LUCANO 17,40.43949152296494,-3.610456424036562,Iglesia Evangélica Filadelfia Lucano 17
Iglesia Evangélica Filadelfia Luis de Hoyos Sainz,"CALLE LUIS DE HOYOS SAINZ  SIN NÚMERO, 2, LOCAL 3",40.4051469811212,-3.6390384001046554,Iglesia Evangélica Filadelfia Luis de Hoyos Sainz
Iglesia Evangélica Filadelfia Manresa 48,CALLE MANRESA 48 POSTERIOR,40.49206894232612,-3.6933865159345056,Iglesia Evangélica Filadelfia Manresa 48
Iglesia Evangélica Filadelfia Mejorana 27,CALLE MEJORANA 27,40.383613937181266,-3.672967700382854,Iglesia Evangélica Filadelfia Mejorana 27
Iglesia Evangélica Filadelfia Nicolasa Gómez 39,CALLE NICOLASA GOMEZ 39,40.441499522158246,-3.6134562575008045,Iglesia Evangélica Filadelfia Nicolasa Gómez 39
Iglesia Evangélica Filadelfia Nuestra Señora de Valverde 108,CALLE NUESTRA SEÑORA DE VALVERDE 108,40.49688491376127,-3.6871152560912925,Iglesia Evangélica Filadelfia Nuestra Señora de Valverde 108
Iglesia Evangélica Filadelfia plaza Rendición de Breda,PLAZA RENDICION DE BREDA 2,40.377321699099916,-3.731724453244233,Iglesia Evangélica Filadelfia plaza Rendición de Breda
Iglesia Evangélica Filadelfia Portugalete 29,CALLE PORTUGALETE 29,40.427201283919715,-3.6336813603346316,Iglesia Evangélica Filadelfia Portugalete 29
Iglesia Evangélica Filadelfia Quart de Poblet 41,CALLE CUART DE POBLET 41,40.397530422468876,-3.7478320658195923,Iglesia Evangélica Filadelfia Quart de Poblet 41
Iglesia Evangélica Filadelfia San Telesforo 13,CALLE SAN TELESFORO 13 PLANTA 1 Nave 11,40.42519222607221,-3.63546130603136,Iglesia Evangélica Filadelfia San Telesforo 13
Iglesia Evangélica Filadelfia Sierra de Engarceran 7,CALLE SIERRA ENGARCERAN 7,40.37615336882075,-3.6239721321364655,Iglesia Evangélica Filadelfia Sierra de Engarceran 7
"Iglesia Evangélica Fuente de la Vida, Asambleas de Dios",CALLE SIERRA CARBONERA 31,40.39224017330228,-3.663983360780897,"Iglesia Evangélica Fuente de la Vida, Asambleas de Dios"
Iglesia Evangélica Fuente de Vida,AVENIDA PEDRO DIEZ 21,40.39136955330053,-3.7312417599906453,Iglesia Evangélica Fuente de Vida
Iglesia evangélica Fundación Federico Fliedner,CALLE BRAVO MURILLO 85,40.44493824188452,-3.70421024880097,Iglesia evangélica Fundación Federico Fliedner
Iglesia Evangélica Gran Rey,CALLE MAESTRO ARBOS 5,40.390162579463414,-3.694838317655381,Iglesia Evangélica Gran Rey
Iglesia Evangélica Isla de Patmos,CALLE POTASA 11 PLANTA BAJO,40.35248166325973,-3.6809977145589596,Iglesia Evangélica Isla de Patmos
Iglesia Evangélica Jesús es el Señor Torre Fuerte,CALLE BLANDON 6,40.38952280235475,-3.739074970950569,Iglesia Evangélica Jesús es el Señor Torre Fuerte
Iglesia Evangélica la Casa del Padre,CALLE HAYA 5,40.36773909619671,-3.747206101955897,Iglesia Evangélica la Casa del Padre
Iglesia Evangélica La Roca,PASEO DELICIAS 28,40.404866930326506,-3.6936814974298464,Iglesia Evangélica La Roca
Iglesia Evangélica Las Águilas,CALLE FUERTE DE NAVIDAD 19,40.380332955379934,-3.7668506940875517,Iglesia Evangélica Las Águilas
Iglesia Evangélica Luz del Mundo,CALLE SAN ERASMO 16,40.33791682003422,-3.7066954895515116,Iglesia Evangélica Luz del Mundo
Iglesia Evangélica Manantial de Vida,AVENIDA CERRO DE LOS ANGELES 10 PLANTA 1 B,40.379960391322925,-3.7130159457712084,Iglesia Evangélica Manantial de Vida
Iglesia Evangélica Miguel de la Roca 6,CALLE MIGUEL DE LA ROCA 6,40.383642670524296,-3.672860306212846,Iglesia Evangélica Miguel de la Roca 6
Iglesia Evangélica Ministerio Belem,CALLE OROPENDOLA 26,40.38218662221814,-3.7327181507119738,Iglesia Evangélica Ministerio Belem
Iglesia Evangélica Ministerio Pasión por Cristo,CALLE REUS 8,40.37160136859314,-3.7459391632325407,Iglesia Evangélica Ministerio Pasión por Cristo
Iglesia Evangélica Ministerio Sembradores,CALLE HUERTA DE CASTA&amp;Ntilde;EDA 25,40.40606887647842,-3.7415039307506968,Iglesia Evangélica Ministerio Sembradores
Iglesia Evangélica Noviciado 5,CALLE NOVICIADO 5,40.425585219802336,-3.708110408802556,Iglesia Evangélica Noviciado 5
Iglesia Evangélica Nueva Vida,CALLE ARGOS 13,40.436772923362945,-3.634945071142653,Iglesia Evangélica Nueva Vida
Iglesia Evangélica Oteiza 45,CALLE OTEIZA 45,40.371042518166824,-3.688095842219565,Iglesia Evangélica Oteiza 45
Iglesia Evangélica Pentecostal Amistad Cristiana,CALLE VALLEHERMOSO 70,40.437256742788904,-3.708286842692643,Iglesia Evangélica Pentecostal Amistad Cristiana
Iglesia Evangélica Pentecostal Bethel,CALLE FERNANDO DIAZ DE MENDOZA 3,40.39425444284573,-3.7130323684423163,Iglesia Evangélica Pentecostal Bethel
Iglesia Evangélica Pentecostal Misión 1909,CALLE VIRGEN DE BELEN 42 PLANTA BAJO,40.390490853232684,-3.721308792690415,Iglesia Evangélica Pentecostal Misión 1909
Iglesia Evangélica Pentecostal Salem,CALLE CIDRO 8,40.36788312377922,-3.7461462154794596,Iglesia Evangélica Pentecostal Salem
Iglesia Evangélica Pinzón 16,CALLE PINZON 16,40.38977130974361,-3.740167780086258,Iglesia Evangélica Pinzón 16
Iglesia Evangélica Pueblo Nuevo,CALLE VILLACARLOS 14,40.405980938654075,-3.6062299408865495,Iglesia Evangélica Pueblo Nuevo
Iglesia Evangélica Renuevo de Vida,CALLE GINZO DE LIMIA 55,40.48482265617191,-3.70908725025374,Iglesia Evangélica Renuevo de Vida
Iglesia Evangélica Servidores de Vida,CALLE CASTROJERIZ 8,40.387266618692394,-3.738996818463832,Iglesia Evangélica Servidores de Vida
Iglesia Evangélica Sinaí,CALLE SILVIO ABAD 76,40.38087966202685,-3.7117610976737634,Iglesia Evangélica Sinaí
Iglesia Evangélica Trafalgar,CALLE TRAFALGAR 32 PLANTA BAJA A,40.43371124396547,-3.701241599331296,Iglesia Evangélica Trafalgar
Iglesia Evangélica Vino Nuevo el Rey Jesús,CALLE CADARSO 6,40.421834986222606,-3.7143270076698696,Iglesia Evangélica Vino Nuevo el Rey Jesús
Iglesia evangélica. Calle Marquesa de Argüeso,CALLE MARQUESA DE ARG&amp;Uuml;ESO 22,40.391475542527616,-3.7238429956192007,Iglesia evangélica. Calle Marquesa de Argüeso
Iglesia Evangélica. Calle Tembleque,CALLE TEMBLEQUE 140,40.39189873720004,-3.7660307873771934,Iglesia Evangélica. Calle Tembleque
Iglesia Gloria de Dios,CALLE ESTEBAN COLLANTES 37,40.431860693236985,-3.6402017241153257,Iglesia Gloria de Dios
Iglesia Hillsong España,CALLE FORTUNATA Y JACINTA 17 Teatro Gran Maestre,40.45428823014499,-3.6977468863800387,Iglesia Hillsong España
Iglesia Internacional Alianza de Amor,CALLE ANTONIO GONZALEZ PORRAS 25,40.39066598347717,-3.7178606509833854,Iglesia Internacional Alianza de Amor
Iglesia Jesús es el Maestro,CALLE ALEJANDRINA MORAN 24,40.40246457556407,-3.7470680018458173,Iglesia Jesús es el Maestro
Iglesia Libre de los Hermanos en Cristo,PASEO EXTREMADURA 179,40.40753170377432,-3.744625537533622,Iglesia Libre de los Hermanos en Cristo
Iglesia Ministerio Denuedo,CALLE MINEROS 12 PLANTA 1,40.38288913614371,-3.7286284347044356,Iglesia Ministerio Denuedo
Iglesia Ministerio Internacional Poder de Dios,CALLE VERJA 27,40.38226744795788,-3.714065918790796,Iglesia Ministerio Internacional Poder de Dios
Iglesia Misionera Asamblea Cristiana,CALLE GUTIERRE DE CETINA 117 PLANTA 3ª,40.42743679266473,-3.639096420331094,Iglesia Misionera Asamblea Cristiana
Iglesia Misionera Asamblea Cristiana Río Ulla 14,CALLE RIO ULLA 14,40.43416644534178,-3.642738285902067,Iglesia Misionera Asamblea Cristiana Río Ulla 14
Iglesia Misionera Pentecostal de Cristo,CALLE BENEFICENCIA 18,40.42635120982088,-3.698682579292043,Iglesia Misionera Pentecostal de Cristo
Iglesia Misión Apostólica Mundial,CALLE ALEJANDRO MORAN 3,40.387011290888786,-3.733352216029725,Iglesia Misión Apostólica Mundial
Iglesia Misión Apostólica Mundial Cuart de Poblet 53,CALLE CUART DE POBLET 53 PLANTA 4 A,40.39718265837727,-3.7480014357699902,Iglesia Misión Apostólica Mundial Cuart de Poblet 53
Iglesia Nueva Generación,CALLE CIDRO 18 PLANTA 1 A,40.365916133593274,-3.746573746167614,Iglesia Nueva Generación
Iglesia Pentecostal Cezarea,CALLE SANTA CRUZ DE RETAMAR 9,40.38203207203419,-3.645493815150533,Iglesia Pentecostal Cezarea
Iglesia Pentecostal Dios es Amor,CALLE ELFO 158,40.43766452292309,-3.6416912216853277,Iglesia Pentecostal Dios es Amor
Iglesia Pentecostal El Buen Samaritano,CALLE SANTIAGO ESTEVEZ 27 PLANTA 1 DERECHA,40.39128043475081,-3.734244509170327,Iglesia Pentecostal El Buen Samaritano
Iglesia Pentecostal Unida de España Pedro Villar 2,CALLE PEDRO VILLAR 2,40.462666965791996,-3.6968917477788623,Iglesia Pentecostal Unida de España Pedro Villar 2
Iglesia Pentecostal Unida en Europa,CALLE CUCLILLO 5,40.39051783514915,-3.730942583215076,Iglesia Pentecostal Unida en Europa
Iglesia Presbiteriana Coreana,CALLE JOSE MARIA PEREDA 28,40.43091133149372,-3.648186676834555,Iglesia Presbiteriana Coreana
Iglesia Presbiteriana Coreana Sarang,CALLE VILLACAMPA 4 y 6,40.37996165811028,-3.6230621112736663,Iglesia Presbiteriana Coreana Sarang
Iglesia Vida Apasionada,CALLE REYES MAGOS 8 PLANTA 6 B,40.41156966174721,-3.674760030213652,Iglesia Vida Apasionada
Iglesia Vida Nueva para las Naciones,CALLE BERASTEGUI 49,40.42727582925555,-3.640605162273815,Iglesia Vida Nueva para las Naciones
Iglesia Vidapasionada,AVENIDA MENENDEZ PELAYO 36,40.405437081813716,-3.68037479130131,Iglesia Vidapasionada
Madrid International Church,CALLE CIDRO 14 PLANTA BAJO Polígono Aguacate,40.366381452000546,-3.74651822287228,Madrid International Church
Ministerio Jesucristo Pan de Vida,CALLE VIRGEN DE BELEN 1,40.390959130810465,-3.7239204204508365,Ministerio Jesucristo Pan de Vida
Misión Carismática Internacional,CALLE RABANAL DEL CAMINO 9 6.1,40.50842533620422,-3.6737581285053764,Misión Carismática Internacional
Misión Evangélica Maranata,CALLE IMAGEN 18,40.38430044082525,-3.667369691758153,Misión Evangélica Maranata
Movimiento Misionero Mundial,CALLE MANUEL LAGUNA 33,40.380772870423094,-3.6664419029385753,Movimiento Misionero Mundial
Movimiento Misionero Mundial calle Germán Pérez Carrasco 92,CALLE GERMAN PEREZ CARRASCO 92,40.437683474255266,-3.640483215376134,Movimiento Misionero Mundial calle Germán Pérez Carrasco 92
Primera Iglesia Evangélica Bautista de Madrid,CALLE GENERAL LACY 18,40.403586898197894,-3.690928534913438,Primera Iglesia Evangélica Bautista de Madrid
Templo Evangélico Comunidad de Oración,CALLE BENIDORM 17,40.43113872141274,-3.6549797237044177,Templo Evangélico Comunidad de Oración
Testigos Cristianos de Jehová. Avenida de Moratalaz,AVENIDA MORATALAZ 143 Bajo 12,40.40711568603655,-3.6480628737257152,Testigos Cristianos de Jehová. Avenida de Moratalaz
Testigos Cristianos de Jehová. Calle Andaluces,AVENIDA ANDALUCES 30 PLANTA BAJO POSTERIOR,40.40711568603655,-3.6480628737257152,Testigos Cristianos de Jehová. Calle Andaluces
Testigos Cristianos de Jehová. Calle Arroyo,CALLE ARROYO 23 PLANTA BAJO,40.46978728598973,-3.7025298582429698,Testigos Cristianos de Jehová. Calle Arroyo
Testigos Cristianos de Jehová. Calle Artistas,CALLE ARTISTAS 22 PLANTA BAJO A,40.44728893529121,-3.7015290370510474,Testigos Cristianos de Jehová. Calle Artistas
Testigos Cristianos de Jehová. Calle Carrascales,CALLE CARRASCALES 12 PLANTA BAJA 1 derecha,40.38152721787896,-3.7082093955604063,Testigos Cristianos de Jehová. Calle Carrascales
Testigos Cristianos de Jehová. Calle Cebreros,CALLE CEBREROS 2 PLANTA BAJO C,40.40480734723471,-3.741418434816632,Testigos Cristianos de Jehová. Calle Cebreros
Testigos Cristianos de Jehová. Calle Chantada,CALLE CHANTADA 41 Bajo 6 y 43,40.47295576678733,-3.7161763610140874,Testigos Cristianos de Jehová. Calle Chantada
Testigos Cristianos de Jehová. Calle de Los Gallegos,CALLE GALLEGOS 2,40.40140094836679,-3.6076479923249063,Testigos Cristianos de Jehová. Calle de Los Gallegos
Testigos Cristianos de Jehová. Calle Doctor Gómez Ulla,CALLE DOCTOR GÓMEZ ULLA 16 PLANTA BAJA IZQUIERDA,40.4299768268144,-3.667513892714285,Testigos Cristianos de Jehová. Calle Doctor Gómez Ulla
Testigos Cristianos de Jehová. Calle Guamo,CALLE GUAMO 2 Bajo 1 bis y 6,40.472423257425966,-3.6329921848042237,Testigos Cristianos de Jehová. Calle Guamo
Testigos Cristianos de Jehová. Calle Hilario Sangrador,CALLE HILARIO SANGRADOR 8 PLANTA BAJA IZQUIERDA,40.407960942737944,-3.7424991074388743,Testigos Cristianos de Jehová. Calle Hilario Sangrador
Testigos Cristianos de Jehová. Calle Ignacio Ellacuría,CALLE IGNACIO ELLACURIA 3 7,40.42908868520633,-3.6568904225379044,Testigos Cristianos de Jehová. Calle Ignacio Ellacuría
Testigos Cristianos de Jehová. Calle Jacobinia,CALLE JACOBINIA 70,40.377563130203534,-3.7538276002522437,Testigos Cristianos de Jehová. Calle Jacobinia
Testigos Cristianos de Jehová. Calle Las Pedroñeras,CALLE LAS PEDRO&amp;Ntilde;ERAS 46 LOCAL,40.46740772482656,-3.630892617916542,Testigos Cristianos de Jehová. Calle Las Pedroñeras
Testigos Cristianos de Jehová. Calle Los Mineros,CALLE MINEROS 16,40.382847153138805,-3.7284140387696176,Testigos Cristianos de Jehová. Calle Los Mineros
Testigos Cristianos de Jehová. Calle Luis Ruiz,CALLE LUIS RUIZ 75 PUERTA 19,40.4280279977347,-3.6360652956995043,Testigos Cristianos de Jehová. Calle Luis Ruiz
Testigos Cristianos de Jehová. Calle Manola y Rosario,CALLE MANOLA Y ROSARIO 1 PLANTA BAJO INTERIOR,40.34412915451855,-3.7132155792734167,Testigos Cristianos de Jehová. Calle Manola y Rosario
Testigos Cristianos de Jehová. Calle Marcudos,CALLE MARCUDOS 4 PLANTA BAJO 3,40.38853080646351,-3.701720159931242,Testigos Cristianos de Jehová. Calle Marcudos
Testigos Cristianos de Jehová. Calle Martín de Vargas,CALLE MARTIN DE VARGAS 26 PLANTA BAJA B derecha,40.40244073010048,-3.701734952593744,Testigos Cristianos de Jehová. Calle Martín de Vargas
Testigos Cristianos de Jehová. Calle Martín Martínez,CALLE MARTIN MARTINEZ 4 PLANTA BAJO 2,40.446837359952966,-3.6726508650238014,Testigos Cristianos de Jehová. Calle Martín Martínez
Testigos Cristianos de Jehová. Calle Puerto de Pozazal,CALLE PUERTO DE POZAZAL 1 C,40.37941728069035,-3.6290579482359915,Testigos Cristianos de Jehová. Calle Puerto de Pozazal
Testigos Cristianos de Jehová. Calle San Moisés,CALLE SAN MOISÉS 39 PLANTA BAJA B,40.382077738308396,-3.665580023171385,Testigos Cristianos de Jehová. Calle San Moisés
Testigos Cristianos de Jehová. Calle Santa Ana Baja,CALLE SANTA ANA BAJA 48 PLANTA BAJO C,40.497192617458886,-3.6907339951292277,Testigos Cristianos de Jehová. Calle Santa Ana Baja
Testigos Cristianos de Jehová. Calle Sierra del Sabiñar,CALLE SIERRA DE SABI&amp;Ntilde;AR 4 PLANTA BAJO LOCAL 3 C,40.373674231018306,-3.618489004433822,Testigos Cristianos de Jehová. Calle Sierra del Sabiñar
Testigos Cristianos de Jehová. Calle Sierra Salvada,CALLE SIERRA SALVADA 24 LOCAL 5,40.373674231018306,-3.618489004433822,Testigos Cristianos de Jehová. Calle Sierra Salvada
Testigos Cristianos de Jehová. Calle Tembleque,CALLE TEMBLEQUE 64 PLANTA BAJA,40.395189097488895,-3.7603005676344834,Testigos Cristianos de Jehová. Calle Tembleque
Testigos Cristianos de Jehová. Calle Venancio Martín,CALLE VENANCIO MARTIN 19 PLANTA BAJA 2,40.39795732762339,-3.6614706779617716,Testigos Cristianos de Jehová. Calle Venancio Martín
Testigos Cristianos de Jehová. Calle Ámbar,CALLE AMBAR 3 PLANTA BAJO IZQUIERDA,40.373674231018306,-3.618489004433822,Testigos Cristianos de Jehová. Calle Ámbar
The Korea Assemblies of God Full Gospel,CALLE HERNANI 34 LOCAL 4,40.448161490124384,-3.7006356397364564,The Korea Assemblies of God Full Gospel
